epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,9482.38,1.09133,0.79574,1.16891,0.67234,0.69565,0.65292,0.38593,1.35678,1.0941,1.2271,0.0006239,0.0006239,0.0006239
141,9545.28,1.06755,0.78418,1.15693,0.70916,0.70652,0.67258,0.39792,1.35891,1.04764,1.23976,0.000614,0.000614,0.000614
142,9606.65,1.06293,0.78247,1.16995,0.68004,0.71616,0.67823,0.40395,1.32536,1.01299,1.22631,0.0006041,0.0006041,0.0006041
143,9669.27,1.07565,0.76812,1.17669,0.61988,0.73913,0.66815,0.40587,1.35664,1.07171,1.22664,0.0005942,0.0005942,0.0005942
144,9731.36,1.05917,0.75546,1.15588,0.65611,0.63587,0.62898,0.37393,1.35979,1.13048,1.20178,0.0005843,0.0005843,0.0005843
145,9794.58,1.07135,0.78639,1.16912,0.60329,0.65217,0.61267,0.3643,1.41644,1.17037,1.22712,0.0005744,0.0005744,0.0005744
146,9858.3,1.087,0.78255,1.16793,0.65024,0.66848,0.66451,0.39436,1.33776,1.0651,1.19582,0.0005645,0.0005645,0.0005645
147,9923.25,1.06414,0.78103,1.16374,0.6694,0.65761,0.66231,0.39103,1.3414,1.08124,1.22559,0.0005546,0.0005546,0.0005546
148,9987.6,1.05095,0.77041,1.1663,0.64531,0.66304,0.64835,0.38564,1.37128,1.08513,1.25282,0.0005447,0.0005447,0.0005447
149,10051.2,1.02626,0.738,1.14486,0.63853,0.65761,0.62837,0.38229,1.32979,1.09109,1.20244,0.0005348,0.0005348,0.0005348
150,10114.9,1.04744,0.75147,1.15408,0.65766,0.7337,0.66816,0.40517,1.34739,1.09051,1.22525,0.0005249,0.0005249,0.0005249
151,10178.2,1.06977,0.75562,1.17031,0.69451,0.64248,0.63748,0.38441,1.3969,1.09566,1.24002,0.000515,0.000515,0.000515
152,10241.7,1.07538,0.76883,1.16598,0.68153,0.69785,0.66575,0.41425,1.35449,1.03514,1.20917,0.0005051,0.0005051,0.0005051
153,10303.1,1.03622,0.74235,1.14789,0.65709,0.71196,0.65868,0.39409,1.36583,1.05728,1.23033,0.0004952,0.0004952,0.0004952
154,10366.5,1.02502,0.73563,1.14153,0.62369,0.70109,0.6376,0.39331,1.34485,1.04631,1.18421,0.0004853,0.0004853,0.0004853
155,10429.6,1.04328,0.77032,1.14937,0.63014,0.7315,0.65954,0.38531,1.34569,1.07008,1.21503,0.0004754,0.0004754,0.0004754
156,10492.2,1.03101,0.75529,1.14546,0.64938,0.71739,0.66928,0.39544,1.33099,1.03382,1.1871,0.0004655,0.0004655,0.0004655
157,10555.4,1.01925,0.73948,1.13414,0.64209,0.73126,0.64338,0.3797,1.35062,1.04837,1.18465,0.0004556,0.0004556,0.0004556
158,10623.2,1.03851,0.72987,1.14982,0.65853,0.70223,0.65817,0.4064,1.38243,1.06512,1.26142,0.0004457,0.0004457,0.0004457
159,10686.5,1.02247,0.73079,1.15235,0.69807,0.69022,0.67208,0.39323,1.36621,1.05092,1.25428,0.0004358,0.0004358,0.0004358
160,10748.9,1.02225,0.71279,1.13406,0.6647,0.72283,0.69761,0.39885,1.35027,1.04839,1.23657,0.0004259,0.0004259,0.0004259
161,10811.7,1.01517,0.74015,1.13693,0.66165,0.74457,0.68464,0.40006,1.32199,1.04004,1.21599,0.000416,0.000416,0.000416
162,10874.3,1.02282,0.72191,1.12732,0.68769,0.73913,0.71415,0.42265,1.31649,0.99869,1.20948,0.0004061,0.0004061,0.0004061
163,10945.8,1.03643,0.74066,1.15375,0.69696,0.66848,0.68037,0.41448,1.32944,1.00041,1.19383,0.0003962,0.0003962,0.0003962
164,11008.5,1.02351,0.7177,1.11878,0.66038,0.70804,0.67055,0.41425,1.29304,1.04067,1.18529,0.0003863,0.0003863,0.0003863
165,11069.9,1.02357,0.72563,1.14559,0.65249,0.72283,0.68622,0.42154,1.29628,1.0189,1.18989,0.0003764,0.0003764,0.0003764
166,11133.2,1.021,0.72342,1.14725,0.69732,0.70109,0.69661,0.4158,1.33127,1.05884,1.21516,0.0003665,0.0003665,0.0003665
167,11196.7,1.01785,0.71557,1.13324,0.70215,0.63587,0.65383,0.3914,1.3463,1.07089,1.2257,0.0003566,0.0003566,0.0003566
168,11259.8,1.0116,0.72399,1.13497,0.67878,0.72283,0.68426,0.40176,1.33426,1.04358,1.21253,0.0003467,0.0003467,0.0003467
169,11321.2,1.0235,0.72702,1.13838,0.63996,0.67621,0.66705,0.39907,1.31222,1.02979,1.20332,0.0003368,0.0003368,0.0003368
170,11384.7,1.0099,0.72025,1.12814,0.68028,0.70109,0.6779,0.40698,1.32793,1.02061,1.20812,0.0003269,0.0003269,0.0003269
